v1,v2,Color,Width,Style,Opacity,Visibility,Label,Label Text Color,Label Font Size,Reciprocated?,id,Dynamic Filter,Add Your Own Columns Here,Relationship,Relationship Date (UTC),tweet,URLs in Tweet,Domains in Tweet,hashtags,tweet_date,Twitter Page for Tweet,Latitude,Longitude,Imported ID,In-Reply-To Tweet ID,pos_count,pos_per,neg_count,neg_per,Sentiment List #3: (Add your own word list) Word Count,Sentiment List #3: (Add your own word list) Word Percentage (%),noncat_count,noncat_per,edgecontent_count
vikas1689,iam_chintamani,,,,,,,,,,3,,,Mentions,22-04-2021 09:11,RT @Iam_Chintamani: #KeralaElections2021 Final numbers. LDF was sailing comfortably till IUML edged up in the closing stages. So it's close…,,,keralaelections2021,22-04-2021 09:11,https://twitter.com/#!/vikas1689/status/1385159219213574146,,,1385159219213574146,,1,5.000,0,0.000,0,0.000,19,95.000,20
gaumisc,gaumisc,,,,,,,,,,4,,,Tweet,22-04-2021 10:38,We had a complete one year to prepare us against fight for #COVID19. But our leaders who could have prepared were b… https://t.co/7GXwI5s9RB,https://twitter.com/i/web/status/1385181244586020874,twitter.com,covid19,22-04-2021 10:38,https://twitter.com/#!/gaumisc/status/1385181244586020874,,,1385181244586020874,,0,0.000,0,0.000,0,0.000,22,100.000,22
ashwinimaury1,ashokshrivasta6,,,,,,,,,,5,,,Replies to,22-04-2021 09:07,"@AshokShrivasta6 उपदेश देना अच्छी बात है,भैया।
लेकिन #ElectionCommission #WestBengalPolls #TamilNaduElections2021… https://t.co/jiDfn1raSm",https://twitter.com/i/web/status/1385158224672825345,twitter.com,electioncommission westbengalpolls tamilnaduelections2021,22-04-2021 09:07,https://twitter.com/#!/ashwinimaury1/status/1385158224672825345,,,1385158224672825345,1385121737860288512,0,0.000,0,0.000,0,0.000,18,100.000,18
javved_khann,ashokshrivasta6,,,,,,,,,,6,,,Mentions,22-04-2021 10:41,"RT @AshwiniMaury1: @AshokShrivasta6 उपदेश देना अच्छी बात है,भैया।
लेकिन #ElectionCommission #WestBengalPolls #TamilNaduElections2021 #keral…",,,electioncommission westbengalpolls tamilnaduelections2021,22-04-2021 10:41,https://twitter.com/#!/javved_khann/status/1385182073586024450,,,1385182073586024450,,,,,,,,,,
javved_khann,ashwinimaury1,,,,,,,,,,7,,,Mentions,22-04-2021 10:41,"RT @AshwiniMaury1: @AshokShrivasta6 उपदेश देना अच्छी बात है,भैया।
लेकिन #ElectionCommission #WestBengalPolls #TamilNaduElections2021 #keral…",,,electioncommission westbengalpolls tamilnaduelections2021,22-04-2021 10:41,https://twitter.com/#!/javved_khann/status/1385182073586024450,,,1385182073586024450,,0,0.000,0,0.000,0,0.000,21,100.000,21
bhavadasnkm,iam_chintamani,,,,,,,,,,8,,,Mentions,22-04-2021 10:41,RT @Iam_Chintamani: #KeralaElections2021 Nothing provides an illustration of the state of Congress party than Kerala and Wayanad. It increa…,,,keralaelections2021,22-04-2021 10:41,https://twitter.com/#!/bhavadasnkm/status/1385182059103203328,,,1385182059103203328,,0,0.000,0,0.000,0,0.000,19,100.000,19
bhavadasnkm,iam_chintamani,,,,,,,,,,9,,,Mentions,22-04-2021 10:42,RT @Iam_Chintamani: #KeralaElections2021 Final numbers. LDF was sailing comfortably till IUML edged up in the closing stages. So it's close…,,,keralaelections2021,22-04-2021 10:42,https://twitter.com/#!/bhavadasnkm/status/1385182113591332871,,,1385182113591332871,,1,5.000,0,0.000,0,0.000,19,95.000,20
weirdaan,weirdaan,,,,,,,,,,10,,,Tweet,22-04-2021 12:19,"#NationFirst नहीं Elections First!

#COVIDEmergency2021 #OxygenShortage
#WestBengalElections… https://t.co/PC7s3nTl15",https://twitter.com/i/web/status/1385206628048310280,twitter.com,nationfirst covidemergency2021 oxygenshortage westbengalelections,22-04-2021 12:19,https://twitter.com/#!/weirdaan/status/1385206628048310280,,,1385206628048310280,,0,0.000,0,0.000,0,0.000,7,100.000,7
news18kerala,news18kerala,,,,,,,,,,11,,,Tweet,22-04-2021 12:44,"കനത്ത മത്സരം നടന്ന തൃശൂരിൽ ജയസാധ്യത കുറവാണെന്നും പാർട്ടി വിലയിരുന്നു #keralaelections2021 
https://t.co/rZmerVXFzF",https://malayalam.news18.com/videos/kerala/cpi-evaluate-to-lose-seats-in-assembly-polls-ar-374463.html,news18.com,keralaelections2021,22-04-2021 12:44,https://twitter.com/#!/news18kerala/status/1385212820824854536,,,1385212820824854536,,0,0.000,0,0.000,0,0.000,27,100.000,27
jojivarghese,jojivarghese,,,,,,,,,,12,,,Tweet,22-04-2021 13:45,"ആഹ്ളാദിപ്പിൻ അർമാദിപ്പിൻ കേരളത്തിലും കോവിഡ് രോഗികളുടെ എണ്ണം കുത്തനെ കൂടുന്നു, തിരഞെടുപ്പിനു കുത്തിമറിഞ്ഞത് മറക്കു ഇ… https://t.co/RJr0zA8PVj",https://twitter.com/i/web/status/1385228251849576453,twitter.com,,22-04-2021 13:45,https://twitter.com/#!/jojivarghese/status/1385228251849576453,,,1385228251849576453,,0,0.000,0,0.000,0,0.000,46,100.000,46
suyash_speaks,snehamkoshy,,,,,,,,,,13,,,Mentions,22-04-2021 13:55,"RT @SnehaMKoshy: Voting over. I leave here a short glimpse of an interaction from earlier today, as an ode to our democracy. Meet Vijaykris…",,,,22-04-2021 13:55,https://twitter.com/#!/suyash_speaks/status/1385230689130274816,,,1385230689130274816,,0,0.000,0,0.000,0,0.000,24,100.000,24
sagi_occ,amitshah,,,,,,,,,,14,,,Mentions,22-04-2021 13:51,@AnchorAnandN @narendramodi This time even @HMOIndia @AmitShah @PMOIndia @narendramodi is also responsible in his p… https://t.co/UEVQ5wEC5Q,https://twitter.com/i/web/status/1385229844322013189,twitter.com,,22-04-2021 13:51,https://twitter.com/#!/sagi_occ/status/1385229844322013189,,,1385229844322013189,1385208563967037449,,,,,,,,,
shree1610das,amitshah,,,,,,,,,,15,,,Mentions,22-04-2021 14:04,RT @sagi_occ: @AnchorAnandN @narendramodi This time even @HMOIndia @AmitShah @PMOIndia @narendramodi is also responsible in his personal ca…,,,,22-04-2021 14:04,https://twitter.com/#!/shree1610das/status/1385233138171875334,,,1385233138171875334,,,,,,,,,,
sagi_occ,hmoindia,,,,,,,,,,16,,,Mentions,22-04-2021 13:51,@AnchorAnandN @narendramodi This time even @HMOIndia @AmitShah @PMOIndia @narendramodi is also responsible in his p… https://t.co/UEVQ5wEC5Q,https://twitter.com/i/web/status/1385229844322013189,twitter.com,,22-04-2021 13:51,https://twitter.com/#!/sagi_occ/status/1385229844322013189,,,1385229844322013189,1385208563967037449,,,,,,,,,
shree1610das,hmoindia,,,,,,,,,,17,,,Mentions,22-04-2021 14:04,RT @sagi_occ: @AnchorAnandN @narendramodi This time even @HMOIndia @AmitShah @PMOIndia @narendramodi is also responsible in his personal ca…,,,,22-04-2021 14:04,https://twitter.com/#!/shree1610das/status/1385233138171875334,,,1385233138171875334,,,,,,,,,,
